    Temp        N/H          P          D/H         T/H        He3/H        He4        Li6/H       Li7/H       Be7/H      Li8/H&up
------------------------------------------------------------------------------------------------------------------------------------
 1.000E+02   8.606E-01   5.375E-01   7.231E-12   1.861E-25   1.861E-25   4.000E-25   1.861E-25   1.861E-25   1.861E-25   3.163E-24
 8.198E+01   8.319E-01   5.459E-01   5.560E-12   1.572E-23   1.696E-23   4.000E-25   1.832E-25   1.832E-25   1.832E-25   3.114E-24
 5.146E+01   7.458E-01   5.728E-01   3.136E-12   7.057E-24   7.965E-24   4.000E-25   1.746E-25   1.746E-25   1.746E-25   2.968E-24
 3.230E+01   6.303E-01   6.134E-01   1.899E-12   4.442E-24   5.355E-24   4.000E-25   1.630E-25   1.630E-25   1.630E-25   2.771E-24
 2.027E+01   4.944E-01   6.692E-01   1.295E-12   4.878E-24   6.367E-24   4.000E-25   1.494E-25   1.494E-25   1.494E-25   2.540E-24
 1.273E+01   3.663E-01   7.319E-01   1.101E-12   1.382E-23   1.879E-23   4.000E-25   1.366E-25   1.366E-25   1.366E-25   2.323E-24
 8.223E+00   2.795E-01   7.816E-01   1.387E-12   1.638E-22   1.995E-22   6.221E-24   1.279E-25   1.279E-25   1.279E-25   2.175E-24
 6.343E+00   2.460E-01   8.026E-01   2.105E-12   2.033E-21   2.043E-21   4.216E-20   1.246E-25   1.246E-25   1.246E-25   2.118E-24
 4.655E+00   2.203E-01   8.194E-01   5.048E-12   1.595E-19   1.089E-19   4.634E-17   1.220E-25   1.220E-25   1.220E-25   2.758E-24
 3.309E+00   2.039E-01   8.307E-01   2.470E-11   2.306E-16   7.816E-17   1.789E-14   1.204E-25   1.204E-25   1.204E-25   3.283E-22
 2.645E+00   1.967E-01   8.356E-01   1.109E-10   1.617E-13   2.887E-14   5.336E-12   1.197E-25   1.197E-25   1.197E-25   7.291E-21
 2.199E+00   1.916E-01   8.392E-01   5.384E-10   5.134E-11   4.770E-12   1.251E-09   1.192E-25   1.192E-25   1.192E-25   1.347E-20
 1.640E+00   1.828E-01   8.454E-01   1.489E-08   2.362E-09   5.821E-11   6.380E-08   1.183E-25   7.795E-24   1.183E-25   1.304E-20
 1.349E+00   1.749E-01   8.512E-01   2.816E-07   4.033E-08   3.244E-10   5.500E-07   2.737E-23   3.338E-20   1.283E-25   1.268E-20
 1.170E+00   1.672E-01   8.567E-01   3.704E-06   3.971E-07   1.239E-09   3.989E-06   5.756E-21   4.065E-17   2.281E-23   1.251E-20
 1.040E+00   1.594E-01   8.624E-01   4.449E-05   1.940E-06   2.775E-09   4.954E-05   8.658E-19   1.545E-14   1.882E-21   3.812E-20
 9.443E-01   1.510E-01   8.670E-01   4.315E-04   1.078E-05   2.258E-08   1.387E-03   1.942E-16   3.418E-12   3.140E-19   3.583E-17
 8.761E-01   1.260E-01   8.529E-01   2.454E-03   5.240E-05   5.500E-07   3.536E-02   2.728E-14   4.224E-10   1.694E-16   1.176E-14
 7.919E-01   1.175E-02   7.605E-01   2.303E-03   4.265E-05   4.369E-06   2.269E-01   7.671E-13   2.804E-09   6.972E-14   1.728E-14
 7.095E-01   9.854E-05   7.519E-01   3.532E-04   5.222E-06   8.753E-06   2.474E-01   2.117E-13   4.554E-10   1.017E-11   1.019E-15
 5.652E-01   9.775E-07   7.519E-01   6.482E-05   5.352E-07   9.571E-06   2.480E-01   3.273E-14   6.030E-11   2.956E-10   5.361E-15
 3.598E-01   1.018E-07   7.519E-01   3.143E-05   1.588E-07   9.337E-06   2.481E-01   1.281E-14   2.591E-11   4.495E-10   4.772E-15
 2.265E-01   2.791E-08   7.519E-01   2.680E-05   1.002E-07   9.898E-06   2.481E-01   1.000E-14   2.486E-11   4.355E-10   2.143E-15
 1.454E-01   7.292E-09   7.519E-01   2.583E-05   8.571E-08   1.018E-05   2.481E-01   1.006E-14   2.725E-11   4.283E-10   1.282E-15
 1.059E-01   2.108E-09   7.519E-01   2.563E-05   8.202E-08   1.025E-05   2.481E-01   1.060E-14   2.800E-11   4.271E-10   1.243E-15
 7.996E-02   5.355E-10   7.519E-01   2.556E-05   8.084E-08   1.028E-05   2.481E-01   1.093E-14   2.818E-11   4.269E-10   1.241E-15
 6.476E-02   1.620E-10   7.519E-01   2.554E-05   8.068E-08   1.029E-05   2.481E-01   1.104E-14   2.821E-11   4.269E-10   1.241E-15
 4.065E-02   8.484E-12   7.519E-01   2.553E-05   8.078E-08   1.030E-05   2.481E-01   1.109E-14   2.822E-11   4.268E-10   1.241E-15
 2.551E-02   3.231E-13   7.519E-01   2.553E-05   8.081E-08   1.030E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 1.601E-02   8.587E-15   7.519E-01   2.553E-05   8.075E-08   1.030E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 1.005E-02   1.528E-16   7.519E-01   2.553E-05   8.060E-08   1.030E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 6.308E-03   1.702E-18   7.519E-01   2.553E-05   8.021E-08   1.030E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 3.960E-03   1.091E-20   7.519E-01   2.553E-05   7.923E-08   1.030E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 2.485E-03   3.662E-23   7.519E-01   2.553E-05   7.679E-08   1.030E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 1.560E-03   1.330E-25   7.519E-01   2.553E-05   7.094E-08   1.031E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 9.791E-04   1.330E-25   7.519E-01   2.553E-05   5.800E-08   1.032E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 6.145E-04   1.330E-25   7.519E-01   2.553E-05   3.479E-08   1.034E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 3.857E-04   1.330E-25   7.519E-01   2.553E-05   9.466E-09   1.037E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 2.421E-04   1.330E-25   7.519E-01   2.553E-05   3.169E-10   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 1.721E-04   1.330E-25   7.519E-01   2.553E-05   9.977E-13   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 1.392E-04   1.330E-25   7.519E-01   2.553E-05   1.906E-15   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 1.149E-04   1.330E-25   7.519E-01   2.553E-05   2.459E-18   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 7.210E-05   1.330E-25   7.519E-01   2.553E-05   8.081E-19   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 4.525E-05   1.330E-25   7.519E-01   2.553E-05   2.490E-19   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 2.840E-05   1.330E-25   7.519E-01   2.553E-05   7.730E-20   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 1.782E-05   1.330E-25   7.519E-01   2.553E-05   2.407E-20   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 1.118E-05   1.330E-25   7.519E-01   2.553E-05   7.500E-21   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 7.377E-06   1.330E-25   7.519E-01   2.553E-05   2.660E-21   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 5.249E-06   1.330E-25   7.519E-01   2.553E-05   1.133E-21   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 3.291E-06   1.330E-25   7.519E-01   2.553E-05   3.525E-22   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 2.063E-06   1.330E-25   7.519E-01   2.553E-05   1.097E-22   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 1.293E-06   1.330E-25   7.519E-01   2.553E-05   3.410E-23   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 8.099E-07   1.330E-25   7.519E-01   2.553E-05   1.059E-23   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 5.071E-07   1.330E-25   7.519E-01   2.553E-05   3.285E-24   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 3.174E-07   1.330E-25   7.519E-01   2.553E-05   1.019E-24   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 1.987E-07   1.330E-25   7.519E-01   2.553E-05   3.156E-25   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 1.243E-07   1.330E-25   7.519E-01   2.553E-05   1.330E-25   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 9.832E-08   1.330E-25   7.519E-01   2.553E-05   1.330E-25   1.038E-05   2.478E-01   1.110E-14   4.551E-10   4.268E-10   1.241E-15
